mes;ano;igp_di;igp_m;inpc;ipc;incc;cub
2;1998;0,02;0,18;0,54;0,19;0,48;0,96
3;1998;0,23;0,19;0,49;0,91;0,47;0,61
4;1998;-0,13;0,13;0,45;0,63;-0,5;0,46
5;1998;0,23;0,14;0,72;0,12;0,98;0,18
6;1998;0,28;0,38;0,15;-0,05;0,39;0,11
7;1998;-0,38;-0,17;-0,28;-0,28;0,34;1,02
8;1998;-0,17;-0,16;-0,49;-1,29;0,22;0,84
9;1998;-0,02;-0,08;-0,31;-0,06;0,01;0,19
10;1998;-0,03;0,08;0,11;0,14;0,01;0,28
11;1998;-0,18;-0,32;-0,18;-1,37;-0,05;-0,04
12;1998;0,98;0,45;0,42;-0,77;0,05;0,03
1;1999;1,15;0,84;0,65;1,14;0,55;-0,72
2;1999;4,44;3,61;1,29;1,23;0,98;1,13
3;1999;1,98;2,83;1,28;2,58;0,55;0,85
4;1999;0,03;0,71;0,47;1,31;0,52;0,91
5;1999;-0,34;-0,29;0,05;0,17;0,86;0,68
6;1999;1,02;0,36;0,07;0,09;0,41;-0,25
7;1999;1,59;1,55;0,74;0,28;0,46;-0,12
8;1999;1,45;1,56;0,55;0,98;0,69;1,41
9;1999;1,47;1,45;0,39;0,75;0,86;1,41
10;1999;1,89;1,7;0,96;0,7;1,01;0,77
11;1999;2,53;2,39;0,94;1,05;0,91;0,92
12;1999;1,23;1,81;0,74;0,86;1,04;0,48
1;2000;1,02;1,24;0,61;0,86;1,07;0,86
2;2000;0,19;0,35;0,05;0,4;0,77;1,13
3;2000;0,18;0,15;0,13;0,36;0,56;0,32
4;2000;0,13;0,23;0,09;0,18;0,6;1,28
5;2000;0,67;0,31;-0,05;0,2;1,35;-1,54
6;2000;0,93;0,85;0,3;0,04;0,73;-0,17
7;2000;2,26;1,57;1,39;1,69;0,3;2,83
8;2000;1,82;2,39;1,21;1,8;0,39;0,84
9;2000;0,69;1,16;0,43;0,16;0,26;0,23
10;2000;0,37;0,38;0,16;0,43;0,33;1,81
11;2000;0,39;0,29;0,29;0,52;0,41;-0,18
12;2000;0,76;0,63;0,55;0,24;0,64;0,11
1;2001;0,49;0,62;0,77;1,56;0,58;0,3
2;2001;0,34;0,23;0,49;-0,12;0,34;0,08
3;2001;0,8;0,56;0,48;0,47;0,27;-0,11
4;2001;1,13;1,000000000;0,84;0,95;0,36;0,72
5;2001;0,44;0,86;0,57;0,11;2,11;0,75
6;2001;1,46;0,98;0,6;0,48;1,16;0,75
7;2001;1,62;1,48;1,11;0,81;0,52;2,57
8;2001;0,9;1,38;0,79;0,41;0,62;1,33
9;2001;0,38;0,31;0,44;-0,17;0,55;0,78
10;2001;1,45;1,18;0,94;1,24;0,93;0,7
11;2001;0,76;1,1;1,29;0,98;0,74;0,67
12;2001;0,18;0,22;0,74;1,45;0,34;1,32
1;2002;0,19;0,36;1,07;0,76;0,36;0,67
2;2002;0,18;0,06;0,31;0,07;0,58;0,13
3;2002;0,11;0,09;0,62;0,81;0,55;-0,05
4;2002;0,7;0,56;0,68;0,83;0,33;0,08
5;2002;1,11;0,83;0,09;0,48;2,53;-0,05
6;2002;1,74;1,54;0,61;0,61;0,57;0,12
7;2002;2,05;1,95;1,15;1,06;0,29;2,8
8;2002;2,36;2,32;0,86;0,69;1,000000000;1,55
9;2002;2,64;2,4;0,83;1,46;0,71;1,03
10;2002;4,21;3,87;1,57;2,02;1,13;1,02
11;2002;5,84;5,19;3,39;4,54;2,45;2,47
12;2002;2,7;3,75;2,7;2,15;1,7;2,11
1;2003;2,17;2,33;2,47;2,41;1,51;1,54
2;2003;1,59;2,28;1,46;0,91;1,39;1,57
3;2003;1,66;1,53;1,37;1,67;1,38;1,31
4;2003;0,41;0,92;1,38;1,76;0,9;0,79
5;2003;-0,67;-0,26;ÿ0,99;0,15;2,84;1,03
6;2003;-0,7;-1,000000000;-0,06;-0,61;1,05;0,18
7;2003;-0,2;-0,42;0,04;-0,23;0,99;3,08
8;2003;0,62;0,38;0,18;0,15;1,44;1,52
9;2003;1,05;1,18;0,82;0,35;0,22;0,49
10;2003;0,44;0,38;0,39;0,47;0,65;0,49
11;2003;0,48;0,49;0,37;0,02;1,04;2,55
12;2003;0,60;0,61;0,54;0,84;0,16;0,39
1;2004;0,80;0,88;0,83;0,78;0,33;0,72
2;2004;1,08;0,69;0,39;0,24;1,00;0,23
3;2004;0,93;1,13;0,57;1,09;1,16;0,99
4;2004;1,15;1,21;0,41;0,02;0,59;1,12
5;2004;1,46;1,31;0,40;0,84;1,83;0,59
6;2004;1,29;1,38;0,50;0,98;0,70;0,65
7;2004;1,14;1,31;0,73;0,55;1,12;1,41
8;2004;1,31;1,22;0,50;0,64;1,94;1,10
9;2004;0,48;0,69;0,17;0,07;0,58;1,17
10;2004;0,53;0,39;0,17;0,66;1,19;0,71
11;2004;0,82;0,82;0,44;0,20;0,71;0,42
12;2004;0,520000000;0,74;0,860000000;0,63;0,510000000;0,88
1;2005;0,33;0,39;0,57;1,14;0,75;0,21
2;2005;0,40;0,30;0,44;-0,09;0,44;0,45
3;2005;0,99;0,85;0,73;1,15;0,67;0,62
4;2005;0,51;0,86;0,91;1,31;0,72;0,47
5;2005;-0,25;-0,22;0,70;0,17;2,09;0,58
6;2005;-0,45;-0,44;-0,11;-0,21;0,76;-0,34
7;2005;-0,40;-0,34;0,03;0,10;0,11;2,78
8;2005;-0,79;-0,65;0,000000000;-0,61;0,02;0,97
9;2005;-0,13;-0,53;0,15;-0,10;0,24;-0,21
10;2005;0,63;0,60;0,58;0,57;0,19;0,20
11;2005;0,33;0,40;0,54;0,35;0,28;-0,30
12;2005;0,07;-0,01;0,40;0,46;0,37;0,26
1;2006;0,72;0,92;0,38;1,29;0,34;0,07
2;2006;-0,06;0,01;0,23;-0,51;0,19;0,41
3;2006;-0,45;-0,23;0,27;-0,36;0,20;-0,10
4;2006;0,02;-0,42;0,12;0,54;0,36;-0,02
5;2006;0,38;0,38;0,13;-0,27;1,32;0,02
6;2006;0,67;0,75;-0,07;-0,25;0,90;0,81
7;2006;0,17;0,18;0,11;0,07;0,47;1,70
8;2006;0,41;0,37;-0,02;0,42;0,24;0,39
9;2006;0,24;0,29;0,16;0,05;0,11;-0,09
10;2006;0,81;0,47;0,43;0,37;0,21;0,09
11;2006;0,57;0,75;0,42;0,60;0,23;-0,04
12;2006;0,26;0,32;0,62;0,48;0,36;-0,19
1;2007;0,43;0,50;0,49;0,76;0,45;0,36
2;2007;0,23;0,27;0,42;-0,01;0,21;0,36
3;2007;0,22;0,34;0,44;1,47;0,27;0,08
4;2007;0,14;0,04;0,26;0,38;0,46;0,21
5;2007;0,16;0,04;0,26;0,23;1,15;0,49
6;2007;0,26;0,26;0,31;1,04;0,92;0,69
7;2007;0,37;0,28;0,32;0,81;0,31;2,53
8;2007;1,39;0,98;0,59;0,15;0,26;0,23
9;2007;1,17;1,29;0,25;0,05;0,51;0,34
10;2007;0,75;1,05;0,30;0,04;0,51;0,35
11;2007;1,05;0,69;0,43;1,14;0,36;0,22
12;2007;1,47;1,76;0,97;0,79;0,59;0,36
1;2008;0,99;1,09;0,69;1,06;0,38;0,05
2;2008;0,38;0,53;0,48;-0,25;0,40;0,16
3;2008;0,70;0,74;0,51;0,67;0,66;0,55
4;2008;1,12;0,69;0,64;0,74;0,87;0,33
5;2008;1,88;1,61;0,96;1,57;2,02;0,18
6;2008;1,89;1,98;0,91;1,38;1,92;1,22
7;2008;1,12;1,76;0,58;0,85;1,46;5,04
8;2008;-0,38;-0,32;0,21;0,33;1,18;0,74
9;2008;0,36;0,11;0,15;0,31;0,95;1,02
10;2008;1,09;0,98;0,50;0,18;0,77;0,59
11;2008;0,07;0,38;0,38;0,89;0,50;0,29
12;2008;-0,44;-0,13;0,29;0,19;0,17;1,04
1;2009;0,01;-0,44;0,64;0,51;0,33;0,61
2;2009;-0,13;0,26;0,31;0,59;0,27;0,33
3;2009;-0,84;-0,74;0,20;0,35;-0,25;
4;2009;0,04;-0,15;0,55;0,39;-0,04;
5;2009;0,18;-0,07;0,60;0,44;1,39;
6;2009;-0,32;-0,10;0,42;0,42;0,70;
7;2009;-0,64;-0,43;0,23;-0,03;0,26;
8;2009;0,09;-0,37;0,08;-0,32;-0,05;
9;2009;0,25;0,43;0,16;0,35;0,15;
10;2009;-0,04;0,05;0,24;0,23;0,06;
11;2009;0,07;0,10;0,37;0,48;0,29;
12;2009;-0,11;-0,26;0,24;-0,51;0,10;
1;2010;1,01;0,63;0,88;0,51;0,64;
2;2010;1,09;1,18;0,70;0,82;0,36;
3;2010;0,63;0,94;0,71;1,18;0,75;
4;2010;0,72;0,77;0,73;0,64;0,84;
5;2010;1,57;1,19;0,43;0,28;1,81;
6;2010;0,34;0,85;-0,11;-0,27;1,09;
7;2010;0,22;0,15;-0,07;0,47;0,44;
8;2010;1,10;0,77;-0,07;0,17;0,14;
9;2010;1,10;1,15;0,54;0,22;0,21;
10;2010;1,03;1,01;0,92;0,76;;